DateTime,Prod_Nuclear_FR,Prod_Wind_FR,Prod_Solar_FR,Prod_Hydro_FR,Prod_Gas_FR,Prod_Oil_FR,Demand_FR,link_FR_ES,Price_FR
2023-01-01 00:00:00,40882.02617298383,5637.137904902647,0.0,3361.027799735174,2207.470075441109,526.4975269515966,54607.83339536788,-1007.8410558012774,79.61160265574566
2023-01-01 01:00:00,40200.07860418361,6334.820759927363,397.0615627926673,3433.1911629643146,2424.685468751506,510.68543635736506,49191.8631077668,-919.5359158508885,77.43571469510985
2023-01-01 02:00:00,40489.36899205287,5263.595724808784,787.1368519259374,3487.7607525014428,2374.1699803342253,645.1188728421157,52259.96541543158,-1095.3267467906996,70.05441522290648
2023-01-01 03:00:00,41120.44659960073,6432.654408237131,1163.3625167937064,3427.9016711963054,2463.5754243648107,502.2854917250062,55848.2094050262,-1197.4247570167252,78.44695963593266
2023-01-01 04:00:00,40933.77899507499,5578.812185894402,1519.1188900729314,3005.857042092501,2277.6287062947317,654.1161497005553,54561.97778976417,-1133.8667684469833,70.82761587514271
2023-01-01 05:00:00,39511.3610600618,5366.382724014234,1848.1464603610927,3179.989032239182,2586.784346458169,529.389329080075,56018.57303512443,-1564.0056657350033,78.46612135778327
2023-01-01 06:00:00,40475.044208762796,6173.025869620166,2144.6560078924877,3364.995281212029,2863.8556059232315,515.9044165173511,54199.87832490046,-859.779147341852,76.59794737206687
2023-01-01 07:00:00,39924.32139585115,5040.215092374987,2403.4304655022447,3085.8148386307203,2117.531855962033,517.920606847721,55534.73375118024,-1496.5618054647903,79.36572820588594
2023-01-01 08:00:00,39948.39057410322,6657.880058434726,2619.916712600678,3260.5183031020647,2517.379107154114,634.4095614707828,51641.453882589674,-579.1843679631818,78.39565621556316
2023-01-01 09:00:00,40205.29925096918,5009.390952385094,2790.305687048689,3027.168994169627,2132.0681063451534,549.073441970569,56732.54048198985,-1124.7292900804744,60.72067634857139
